"Código Receita"|"Receita"|"Jan"|"Fev"|"Mar"|"Abr"|"Mai"|"Jun"|"Jul"|"Ago"|"Set"|"Out"|"Nov"|"Dez"|"Total"|"Tp_Linha"|"Rec_Id"
"1.9.9.9.99.2.1.0010"|"Outras Receitas"|"82149.67"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"82149.67"|"2"|"1.9.9.9.99.2.1.0010"
"1.9.2.2.99.0.1.0001"|"Outras Restituicoes - Principal"|"115978.78"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"115978.78"|"2"|"1.9.2.2.99.0.1.0001"
"1.7.2.3.50.0.1.0020"|"Programa de Dispensacao de Insumos para Diabetes"|"21083.50"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"21083.50"|"2"|"1.7.2.3.50.0.1.0020"
"1.9.9.9.99.2.3.0001"|"Receita da DIV Ativ Nao Trib do Fumdicad Principal"|"167.92"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"167.92"|"2"|"1.9.9.9.99.2.3.0001"
"1.9.9.9.99.2.3.0010"|"Receita da DIV Ativ Nao Trib do Fumdicad Principal"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"2"|"1.9.9.9.99.2.3.0010"
"1.9.9.9.99.2.3.0990"|"Receita da DIV Ativ Nao Trib Outras Receitas Princ"|"1221.94"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"1221.94"|"2"|"1.9.9.9.99.2.3.0990"
"1.3.2.1.01.0.1.0021"|"Remun. Dep Banc de Recursos Vinc - Fundeb"|"45001.85"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"45001.85"|"2"|"1.3.2.1.01.0.1.0021"
"1.3.2.1.01.0.1.0011"|"Remun. Dep Banc de Recursos Vinc - Royalties"|"17327.12"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"17327.12"|"2"|"1.3.2.1.01.0.1.0011"
"1.3.2.1.01.0.1.0106"|"Remun. Dep Banc Outros Recursos Vinculados Fr 01"|"114926.19"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"114926.19"|"2"|"1.3.2.1.01.0.1.0106"
"1.3.2.1.01.0.1.0107"|"Remun. Dep Banc Outros Recursos Vinculados Fr 02"|"40174.47"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"40174.47"|"2"|"1.3.2.1.01.0.1.0107"
"1.3.2.1.01.0.1.0108"|"Remun. Dep Banc Outros Recursos Vinculados Fr 03"|"359042.61"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"359042.61"|"2"|"1.3.2.1.01.0.1.0108"
"1.3.2.1.01.0.1.0109"|"Remun. Dep Banc Outros Recursos Vinculados Fr 05"|"12897.39"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"12897.39"|"2"|"1.3.2.1.01.0.1.0109"
"1.3.2.1.01.0.1.0110"|"Remun. Dep Banc Outros Recursos Vinculados Fr 07"|"14.43"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"14.43"|"2"|"1.3.2.1.01.0.1.0110"
"1.3.2.1.01.0.1.0044"|"Remun. Dep Banc R Vinc Manut./des do Ensino Fr 01"|"22807.71"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"22807.71"|"2"|"1.3.2.1.01.0.1.0044"
"1.3.2.1.01.0.1.0045"|"Remun. Dep Banc R Vinc Manut./des do Ensino Fr 02"|"122689.06"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"122689.06"|"2"|"1.3.2.1.01.0.1.0045"
"1.3.2.1.01.0.1.0046"|"Remun. Dep Banc R Vinc Manut./des do Ensino Fr 05"|"126527.54"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"126527.54"|"2"|"1.3.2.1.01.0.1.0046"
"1.3.2.1.01.0.1.0035"|"Remun. Dep Banc Rec Vinc Fundo Saude Fr 01"|"39898.82"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"39898.82"|"2"|"1.3.2.1.01.0.1.0035"
"1.3.2.1.01.0.1.0036"|"Remun. Dep Banc Rec Vinc Fundo Saude Fr 02"|"21595.92"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"21595.92"|"2"|"1.3.2.1.01.0.1.0036"
"1.3.2.1.01.0.1.0037"|"Remun. Dep Banc Rec Vinc Fundo Saude Fr 05 Custeio"|"91739.11"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"91739.11"|"2"|"1.3.2.1.01.0.1.0037"
"1.3.2.1.01.0.1.0038"|"Remun. Dep Banc Rec Vinc Fundo Saude Fr 05 Invest."|"22165.70"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"22165.70"|"2"|"1.3.2.1.01.0.1.0038"
"1.3.2.1.01.0.1.0039"|"Remun. Dep Banc Rec Vinc Fundo Saude Fr 06"|"3806.02"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"3806.02"|"2"|"1.3.2.1.01.0.1.0039"
"1.3.2.1.01.0.1.0084"|"Remun. Dep Bancarios Recurso Vinculado Fnas Fr 01"|"60882.69"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"60882.69"|"2"|"1.3.2.1.01.0.1.0084"
"1.3.2.1.01.0.1.0085"|"Remun. Dep Bancarios Recurso Vinculado Fnas Fr 02"|"4582.85"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"4582.85"|"2"|"1.3.2.1.01.0.1.0085"
"1.3.2.1.01.0.1.0086"|"Remun. Dep Bancarios Recurso Vinculado Fnas Fr 05"|"7863.08"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"7863.08"|"2"|"1.3.2.1.01.0.1.0086"
"1.3.2.1.01.0.1.0050"|"Remun. Dep Bancarios Recursos Vinculados - Cide"|"1821.07"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"1821.07"|"2"|"1.3.2.1.01.0.1.0050"
"1.3.2.1.01.0.1.0012"|"Remun. Depositos Bancarios - Alienacao de Bens"|"38052.63"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"38052.63"|"2"|"1.3.2.1.01.0.1.0012"
"1.3.2.1.01.0.1.0013"|"Remun. Depositos Bancarios - Transito"|"183629.93"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"183629.93"|"2"|"1.3.2.1.01.0.1.0013"
"1.3.2.1.01.0.1.0991"|"Remun. Outros Depositos Recursos Nao Vinculados"|"1059084.99"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"1059084.99"|"2"|"1.3.2.1.01.0.1.0991"
"1.9.2.2.99.0.1.0003"|"Restituicao de Vale Alimentacao na Folha de Pgto"|"152400.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"152400.00"|"2"|"1.9.2.2.99.0.1.0003"
"1.7.1.2.52.1.1.0001"|"Royalties da Anp Prod. Petroleo - Lei N. 7990/89"|"420788.16"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"420788.16"|"2"|"1.7.1.2.52.1.1.0001"
"1.7.1.2.52.2.1.0002"|"Royalties da Anp Prod. Petroleo - Lei N. 9478/97"|"2493.47"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"2493.47"|"2"|"1.7.1.2.52.2.1.0002"
"1.7.1.2.52.1.1.0002"|"Royalties do Petroleo - Lei N. 7990/89 - Educacao"|"119926.69"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"119926.69"|"2"|"1.7.1.2.52.1.1.0002"
"1.7.1.2.52.1.1.0003"|"Royalties do Petroleo - Lei N. 7990/89 - Saude"|"39975.56"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"39975.56"|"2"|"1.7.1.2.52.1.1.0003"
"1.7.1.2.52.2.1.0003"|"Royalties do Petroleo - Lei N. 9478/97 - Educacao"|"1468.81"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"1468.81"|"2"|"1.7.1.2.52.2.1.0003"
"1.7.1.2.52.2.1.0004"|"Royalties do Petroleo - Lei N. 9478/97 - Saude"|"489.60"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"489.60"|"2"|"1.7.1.2.52.2.1.0004"
"1.7.2.2.52.0.1.0001"|"Royalties-comp.finp/prod.petro-l7990/89 Cota Mun."|"30171.41"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"30171.41"|"2"|"1.7.2.2.52.0.1.0001"
"1.7.3.9.50.0.1.0010"|"Samu Regional"|"105588.61"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"105588.61"|"2"|"1.7.3.9.50.0.1.0010"
"1.1.2.2.01.0.1.0060"|"Servicos Administrativos"|"500.97"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"500.97"|"2"|"1.1.2.2.01.0.1.0060"
"1.1.2.2.01.0.1.0050"|"Servicos Agropecuarios - Patrulha Agricola"|"3511.23"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"3511.23"|"2"|"1.1.2.2.01.0.1.0050"
"1.1.2.2.01.0.1.0070"|"Servicos Diversos de Preco Publico"|"49085.55"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"49085.55"|"2"|"1.1.2.2.01.0.1.0070"
"1.1.2.1.01.0.1.0050"|"Taxa de Aprovacao de Projeto de Construcao CIVIL"|"6812.70"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"6812.70"|"2"|"1.1.2.1.01.0.1.0050"
"1.1.2.2.01.0.1.0040"|"Taxa de Cemiterio"|"39710.81"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"39710.81"|"2"|"1.1.2.2.01.0.1.0040"
"1.1.2.2.01.0.1.0020"|"Taxa de Habite-se"|"46457.50"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"46457.50"|"2"|"1.1.2.2.01.0.1.0020"
