"Código Receita"|"Receita"|"Jan"|"Fev"|"Mar"|"Abr"|"Mai"|"Jun"|"Jul"|"Ago"|"Set"|"Out"|"Nov"|"Dez"|"Total"|"Tp_Linha"|"Rec_Id"
"1.1.2.2.01.0.2.0001"|"Taxa Prest de Servicos Geral - Multas e Juros"|"1929.92"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"1929.92"|"2"|"1.1.2.2.01.0.2.0001"
"1.7.1.3.50.2.1.0002"|"Transf Recursos do Sus - Media e Alta Complexidade"|"1499722.14"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"1499722.14"|"2"|"1.7.1.3.50.2.1.0002"
"1.7.1.5.52.0.1.0001"|"Transf. Recursos Compl. da Uniao ao Fundeb - Vaar"|"309017.01"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"309017.01"|"2"|"1.7.1.5.52.0.1.0001"
"1.7.1.3.50.1.1.0002"|"Transferencia de Recursos do Sus - Atencao Basica"|"1532229.46"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"1532229.46"|"2"|"1.7.1.3.50.1.1.0002"
"1.7.1.9.58.0.1.0001"|"Transferencia Obrigatoria - Lei Compl. 176/2020"|"39583.94"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"39583.94"|"2"|"1.7.1.9.58.0.1.0001"
"1.7.1.3.50.4.1.0002"|"Transferencia Recursos Sus - Assist. Farmaceutica"|"54114.32"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"54114.32"|"2"|"1.7.1.3.50.4.1.0002"
"1.7.1.3.50.3.1.0002"|"Transferencia Recursos Sus - Vigilancia em Saude"|"44726.48"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"44726.48"|"2"|"1.7.1.3.50.3.1.0002"
"1.7.5.1.50.0.1.0001"|"Transferencias de Recursos do Fundeb - Principal"|"13967429.12"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"13967429.12"|"2"|"1.7.5.1.50.0.1.0001"
"1.7.1.4.50.0.1.0001"|"Transferencias do Salario-educacao - Principal"|"2282896.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"2282896.00"|"2"|"1.7.1.4.50.0.1.0001"
"1.9.9.9.99.2.1.0080"|"Zona Azul"|"160000.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"160000.00"|"2"|"1.9.9.9.99.2.1.0080"

